accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,brier_score,mean_entropy,mean_confidence,mean_margin,Validation,SplitLabel,Model,n_samples
0.9220985691573926,0.8287147502688855,0.8359889149754719,0.9188273326567478,0.25128848810347915,0.1237991176156761,0.2684329152107239,0.9076785445213318,0.8368141055107117,BlindWell,Blind_Well_01,RandomForest,629
0.9236883942766295,0.8431192166479654,0.8395027933155634,0.920806311150699,0.2541145507313168,0.12326968749970384,0.11914227157831192,0.960498034954071,0.9286494255065918,BlindWell,Blind_Well_01,GradientBoosting,629
0.9284578696343402,0.8564727687111948,0.8517981278646528,0.9256642832777864,0.289304430161136,0.12526588625955104,0.0937962457537651,0.968481719493866,0.9408209323883057,BlindWell,Blind_Well_01,XGBoost,629
0.9220985691573926,0.8287147502688855,0.8359889149754719,0.9188273326567478,0.25128848810347915,0.12379911761563094,0.2684329152107239,0.9076785445213318,0.8368141055107117,BlindWell,Blind_Well_01,ProbabilisticEnsemble,629
0.848966613672496,0.6610969725687322,0.6249151293311351,0.8235597635593394,0.48532922033978776,0.2418216963875781,0.27951398491859436,0.899372935295105,0.8320191502571106,BlindWell,Blind_Well_01,CNN,629
0.8569157392686805,0.6925577008493503,0.6530996970503629,0.8375541210115768,0.45231414181955587,0.22715064433504667,0.26496657729148865,0.9110836386680603,0.8460846543312073,BlindWell,Blind_Well_01,CNN_BiLSTM,629
0.809220985691574,0.6599758817576403,0.5884384628216381,0.7967726860282883,0.5250885167978375,0.27191600607021277,0.4189050793647766,0.8652900457382202,0.7784014344215393,BlindWell,Blind_Well_01,CNN_BiLSTM_Attention,629
0.9220985691573926,0.8287147502688855,0.8359889149754719,0.9188273326567478,0.25128848810347915,0.12379911761558579,0.2684329152107239,0.9076785445213318,0.8368141055107117,BlindWell,Blind_Well_01,HybridFusion,629
0.8929068150208623,0.7283852068782974,0.725386981328159,0.8743889470828335,0.3287794034996327,0.18643110855550682,0.4388071298599243,0.8372470140457153,0.7181104421615601,BlindWell,Blind_Well_02,RandomForest,719
0.8803894297635605,0.7089572463448314,0.6070182733403852,0.8633601739855271,0.5599251498842978,0.20648598362037018,0.11819467693567276,0.9582480192184448,0.9204434156417847,BlindWell,Blind_Well_02,GradientBoosting,719
0.8956884561891516,0.7269646593292128,0.6259255434261783,0.8788099254170051,0.3700466856732774,0.17731989432916367,0.14745281636714935,0.9503299593925476,0.9052771925926208,BlindWell,Blind_Well_02,XGBoost,719
0.8915159944367177,0.7261329546260452,0.7243111051242729,0.8728319751714496,0.3228808836942646,0.18284959798635725,0.4195919632911682,0.848194420337677,0.7361519932746887,BlindWell,Blind_Well_02,ProbabilisticEnsemble,719
0.5132127955493742,0.48436550733393346,0.3495022123681059,0.545424597077208,1.7780528587185318,0.8012265175344726,1.9091473817825317,0.20673824846744537,0.0388062559068203,BlindWell,Blind_Well_02,CNN,719
0.808066759388039,0.7123700024719986,0.6947979033116544,0.7859521603658296,0.6255809727525348,0.2890970886265059,0.32051214575767517,0.8913942575454712,0.8113893270492554,BlindWell,Blind_Well_02,CNN_BiLSTM,719
0.7705146036161336,0.5496508133489928,0.5236263120036405,0.7226919793930455,0.8891423948457625,0.33974022792532993,0.27801233530044556,0.9003235697746277,0.8227508664131165,BlindWell,Blind_Well_02,CNN_BiLSTM_Attention,719
0.866481223922114,0.6885617686122183,0.6821632498833833,0.8474726110949345,0.3486930756443675,0.19954040152294958,0.4431861937046051,0.8357599973678589,0.7165315747261047,BlindWell,Blind_Well_02,HybridFusion,719
0.968365553602812,0.9284408793820559,0.9089608758689329,0.969925894211824,0.1492270730828417,0.07265834694914594,0.2969711124897003,0.8860212564468384,0.7978382110595703,BlindWell,Blind_Well_03,RandomForest,569
0.9191564147627417,0.8897706476530006,0.8371891141753439,0.92403412141509,0.20641228942324222,0.11343995460553107,0.13878589868545532,0.9546891450881958,0.9179030060768127,BlindWell,Blind_Well_03,GradientBoosting,569
0.9226713532513181,0.9280974450386216,0.865184899474972,0.929698066012948,0.17639075381751915,0.10618725859312002,0.1485539972782135,0.9448199272155762,0.8974478244781494,BlindWell,Blind_Well_03,XGBoost,569
0.9226713532513181,0.9280974450386216,0.865184899474972,0.929698066012948,0.17490547903773587,0.10548588109100762,0.1503637731075287,0.9449570178985596,0.8980012536048889,BlindWell,Blind_Well_03,ProbabilisticEnsemble,569
0.8471001757469244,0.6631752055660974,0.6200318482221685,0.8536643128593875,0.41714162666267773,0.21747572241335908,0.43481874465942383,0.8327093124389648,0.7268797755241394,BlindWell,Blind_Well_03,CNN,569
0.8717047451669596,0.7169172943859851,0.6930558072797802,0.8769544257663534,0.3514670887741197,0.17809226670148467,0.37957844138145447,0.8698135614395142,0.7849975824356079,BlindWell,Blind_Well_03,CNN_BiLSTM,569
0.8945518453427065,0.8085564180706496,0.7665653995920346,0.9022619513027815,0.3564601680876851,0.18407351990363677,0.5634636282920837,0.80257648229599,0.6757920980453491,BlindWell,Blind_Well_03,CNN_BiLSTM_Attention,569
0.9226713532513181,0.9280974450386216,0.865184899474972,0.929698066012948,0.17490547903773587,0.10548588109105732,0.1503637731075287,0.9449570178985596,0.8980012536048889,BlindWell,Blind_Well_03,HybridFusion,569
0.950479233226837,0.9042331906838944,0.8924457605740774,0.9503615192390362,0.19077555521536307,0.09522377265001802,0.3669080436229706,0.868614912033081,0.7754554748535156,BlindWell,Blind_Well_04,RandomForest,626
0.9616613418530351,0.925854966540963,0.7877689454641582,0.9633835433013197,0.12022276472810371,0.0629120003543668,0.13960829377174377,0.9501454830169678,0.9080215692520142,BlindWell,Blind_Well_04,GradientBoosting,626
0.952076677316294,0.9126036302575717,0.7747871361751635,0.9544786453167297,0.11390399224960437,0.06569140388144191,0.1299016773700714,0.9535761475563049,0.9134238958358765,BlindWell,Blind_Well_04,XGBoost,626
0.950479233226837,0.9042331906838944,0.8924457605740774,0.9503615192390362,0.19077555521536307,0.09522377265002727,0.3669080436229706,0.868614912033081,0.7754554748535156,BlindWell,Blind_Well_04,ProbabilisticEnsemble,626
0.6645367412140575,0.44087910323502166,0.3263702997303187,0.6602771441214168,1.3765803748463603,0.5265387769608428,1.6155247688293457,0.42147350311279297,0.27466678619384766,BlindWell,Blind_Well_04,CNN,626
0.7763578274760383,0.6417959885946508,0.5509987505011045,0.7707962603489555,0.4973384183263957,0.2612790899381125,0.43591177463531494,0.852434515953064,0.7625651359558105,BlindWell,Blind_Well_04,CNN_BiLSTM,626
0.865814696485623,0.7487995801530114,0.7051034755314544,0.85460915904512,0.3034529265097623,0.1728043409370774,0.39907023310661316,0.8714548945426941,0.7930931448936462,BlindWell,Blind_Well_04,CNN_BiLSTM_Attention,626
0.8961661341853036,0.797771306654365,0.7666392378386871,0.8871529264473494,0.22987373558936627,0.12107431185803921,0.42461445927619934,0.8554575443267822,0.7615653872489929,BlindWell,Blind_Well_04,HybridFusion,626
0.9563679245283019,0.7496096989520445,0.7581993755690696,0.954136251297498,0.18773873043719747,0.08757268627597237,0.3790980577468872,0.8708239197731018,0.7772520780563354,BlindWell,Blind_Well_05,RandomForest,848
0.9658018867924528,0.7960216930583274,0.7826799704245513,0.9648340932701093,0.1391584504162366,0.060116507715251344,0.11561669409275055,0.9645731449127197,0.9362179040908813,BlindWell,Blind_Well_05,GradientBoosting,848
0.9705188679245284,0.803077327292054,0.7948845583007212,0.9692389000953012,0.11542934321163846,0.050611004593953395,0.08643996715545654,0.9757575392723083,0.95552659034729,BlindWell,Blind_Well_05,XGBoost,848
0.9705188679245284,0.8016067390567599,0.7948451921790382,0.9692973368983739,0.11955951523817568,0.05233039158918179,0.10722731798887253,0.9683806300163269,0.9424796104431152,BlindWell,Blind_Well_05,ProbabilisticEnsemble,848
0.4481132075471698,0.46414738940501327,0.28644596206137035,0.4834785179258831,1.7887607214941286,0.8130316059663985,1.9124635457992554,0.20048759877681732,0.02370954304933548,BlindWell,Blind_Well_05,CNN,848
0.7264150943396226,0.5388651804979147,0.5058680208912444,0.7599112696442192,1.1384063574899441,0.39946058073570356,0.4697454571723938,0.8257027268409729,0.6989946365356445,BlindWell,Blind_Well_05,CNN_BiLSTM,848
0.8136792452830188,0.593645807451245,0.549014083770042,0.8263387276092402,0.4451905771400488,0.2398093852211654,0.44775184988975525,0.843011200428009,0.7403411269187927,BlindWell,Blind_Well_05,CNN_BiLSTM_Attention,848
0.9705188679245284,0.7952794161142718,0.7894896281069649,0.969226199473229,0.1721877185509737,0.07915580875359644,0.3366696834564209,0.8900018334388733,0.8104983568191528,BlindWell,Blind_Well_05,HybridFusion,848
0.8690773067331671,0.6791176219218168,0.6045228574400422,0.8765008469818132,0.513354438649805,0.20703395075268252,0.36878907680511475,0.8585051894187927,0.7596242427825928,BlindWell,Blind_Well_06,RandomForest,802
0.8703241895261845,0.6993547165567898,0.5925184396688085,0.8825859358950228,0.6326387010062061,0.21014567233316425,0.15542465448379517,0.9401520490646362,0.8911393284797668,BlindWell,Blind_Well_06,GradientBoosting,802
0.885286783042394,0.724615641201415,0.621490614005187,0.8943693165379158,0.5399405137383947,0.19243732822046644,0.14109952747821808,0.947016716003418,0.9045135974884033,BlindWell,Blind_Well_06,XGBoost,802
0.8740648379052369,0.7098582890549715,0.5991269108906312,0.8863940281170691,0.4768256460419909,0.1972816777340446,0.27404162287712097,0.9050205945968628,0.8352498412132263,BlindWell,Blind_Well_06,ProbabilisticEnsemble,802
0.3653366583541147,0.338216966640582,0.1969837420751725,0.4442358740063289,1.7982275314500056,0.818380461810127,1.8527253866195679,0.22949811816215515,0.021556369960308075,BlindWell,Blind_Well_06,CNN,802
0.7194513715710723,0.39237151200205683,0.37298596943205947,0.7392782092733863,0.8816194998962782,0.3851800322669206,0.40237849950790405,0.8502635359764099,0.7407525181770325,BlindWell,Blind_Well_06,CNN_BiLSTM,802
0.7531172069825436,0.4630072215839579,0.4452316430068928,0.7870315029281025,0.9047642097703031,0.37335937548766146,0.30420607328414917,0.8889592289924622,0.8058001399040222,BlindWell,Blind_Well_06,CNN_BiLSTM_Attention,802
0.8665835411471322,0.7045002864413118,0.5980139626369775,0.8775924089618999,0.4933829009064652,0.21872967157250925,0.3521629571914673,0.8636087775230408,0.7609431147575378,BlindWell,Blind_Well_06,HybridFusion,802
0.9642289348171701,0.7856592502124187,0.7915545060454503,0.963223275144599,0.13590384682114628,0.06206630595381601,0.21163149178028107,0.9284005165100098,0.87530118227005,RandomSplit,Random_70_30,RandomForest,1258
0.9602543720190779,0.7896213030333856,0.7855828825935596,0.9596228933466543,0.12424678192624493,0.06108577689834132,0.09121587872505188,0.9702823758125305,0.945610761642456,RandomSplit,Random_70_30,GradientBoosting,1258
0.9634340222575517,0.7943136907868553,0.7915753128723582,0.9630254347237143,0.1027069576171321,0.05439625132743245,0.08349008858203888,0.9728496670722961,0.95001620054245,RandomSplit,Random_70_30,XGBoost,1258
0.9626391096979332,0.7925024674242832,0.7918397032251706,0.9621789069567745,0.10561378890325888,0.05458389293256047,0.09309325367212296,0.9695366621017456,0.9442705512046814,RandomSplit,Random_70_30,ProbabilisticEnsemble,1258
0.9173290937996821,0.7165977504111168,0.7092610240643522,0.9175394000617922,0.22202755353355583,0.1201346704378834,0.22646380960941315,0.9107258319854736,0.843055784702301,RandomSplit,Random_70_30,CNN,1258
0.9228934817170111,0.7380982416320541,0.7251913901585371,0.923514305994355,0.21511843499203895,0.11234392380092849,0.17328715324401855,0.9385229349136353,0.8886337280273438,RandomSplit,Random_70_30,CNN_BiLSTM,1258
0.9308426073131956,0.7450679385711806,0.7305060967189075,0.9315380687239817,0.2058478875775607,0.10781616106013453,0.25907081365585327,0.9105345010757446,0.8470811247825623,RandomSplit,Random_70_30,CNN_BiLSTM_Attention,1258
0.9674085850556439,0.8038855000851405,0.8002263445381127,0.9669662580676174,0.11979739452054185,0.058753218484807815,0.1957026720046997,0.9362432956695557,0.887894332408905,RandomSplit,Random_70_30,HybridFusion,1258
